StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q85,Q86,Q87,Q88,Q88_4_TEXT,Q89,Q89_4_TEXT,Q90,Q90_6_TEXT,Q92,Q92_6_TEXT,Q148,Q148_6_TEXT,Q151,Q151_6_TEXT,Q149,Q150,Q2,Q4_1,Q93,Q94_1,Q95,Q96_1,Q97,Q98_1,Q99,Q100_1,Q101,Q102_1,Q103,Q104_1,Q105,Q106_1,Q107,Q109,Q108_1,Q110,Q111,Q112_1,Q116,Q117_1,Q118,Q119_1,Q120,Q121_1,Q122,Q123_1,Q124,Q125_1,Q126,Q127_1,Q128,Q129_1,Q130,Q131_1,Q132,Q133_1,Q134,Q135_1,Q136,Q137_1,Q138,Q139_1,Q140,Q141_1,Q142,Q143_1,Q144,Q145_1,Q146,Q147_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Сіз эмоциялар туралы зерттеуге қатысуға шақырылдыңыз. Зерттеудің мақсаты – түрлі жағдаяттарда эмоциялық көріністерге деген адамның көзқарасы мен бағасын зерделеу.
Зерттеуге қатысу барысында сізге түрлі жағдаяттар ұсынылады, сіз сол жағдайдағы эмоцияны танып, оның күшін бағалауыңыз қажет.  Мысалы:  « Мақсат лотереядан миллиондаған қаржы ұтып алды. Бұл жағдайда Мақсат қандай эмоцияны сезінуі мүмкін? »

Жауап: Қуаныш. Эмоцияның қүшін бағалаңыз:
1 – өте әлсіз
2 – әлсіздеу
3 – орташа
4 – күштілеу
5 – өте күшті
Жауап: 5

Сауалнаманы толтыруға шамамен 15-20 минут қажет. 
Сіздің жауаптарыңыз толығымен анонимді және құпия сақталады. Жеке басыңызды анықтайтын ешқандай ақпарат жиналмайды. Қатысу толығымен ерікті түрде жүзеге асырылады және сіз кез келген уақытта зерттеуден бас тарта аласыз. Егер сізде зерттеу туралы сұрақтар болса, зерттеушімен valentina.apressyan@nu.edu.kz электрондық поштасы арқылы байланысуға болады. 

Төмендегі ""Келісемін"" батырмасын басу арқылы сіз 18 жастан асқаныңызды растайсыз және бұл зерттеуге ерікті түрде қатысуға келісесіз.",Сіздің жасыңыз нешеде?,Сіздің ең жоғары білім деңгейіңіз қандай?,Сіздің жынысыңыз қандай?,Сіз мектепте пәндердің басым бөлігін қай тілде оқыдыңыз? - Selected Choice,Сіз мектепте пәндердің басым бөлігін қай тілде оқыдыңыз? - Басқа (көрсетіңіз) - Text,Сіздің ана тіліңіз қандай? - Selected Choice,Сіздің ана тіліңіз қандай? - Басқа (көрсетіңіз) - Text,Сіз қай тілдерде сөйлейсіз? - Selected Choice,Сіз қай тілдерде сөйлейсіз? - Басқа (көрсетіңіз) - Text,Сіз қандай тілде ойлайсыз? - Selected Choice,Сіз қандай тілде ойлайсыз? - Басқа (көрсетіңіз) - Text,Сезіміңізді еркін білдіретін тіліңіз қайсы? - Selected Choice,Сезіміңізді еркін білдіретін тіліңіз қайсы? - Басқа (көрсетіңіз) - Text,Қай тілді ең көп қолданамын деп есептейсіз? - Selected Choice,Қай тілді ең көп қолданамын деп есептейсіз? - Басқа (көрсетіңіз) - Text,Сіз күнделікті өмірде ағылшын тілін жиі қолданасыз ба?,Сіз күнделікті өмірде қазақ тілін жиі қолданасыз ба?,"'Әйел өз үйінде жалаңаяқ отырған кезде үйге ер адамдар кіріп келді.'
 Бұл жағдайда әйел қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жоғары сынып оқушысы электронды поштасын ашып, армандаған университетіне түскені жайлы хабарламаны көрді.' Бұл жағдайда ол қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Мағжанға досы Whatsapp арқылы мүлде күлкілі емес әзіл жіберді, ал Мағжан оны оқып, жауап берген жоқ.'
Осы жағдайда Мағжан қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Олимпиадаға өз елінің атынан қатысып жатқан спортшы жартылай финалда жеңіліп қалды. Енді оның жаттықтырушысы мен қолдаушыларының көңіл-күйі түсіп кетті.'
 Бұл жағдайда спортшы қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жәңгір көше бойымен келе жатқанда, біреу оны лас көлшікке итеріп жіберді, сол себепті оның киімі балшыққа былғанып қалды.'  
Бұл жағдайда Жәңгір қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Мадинаның досы оған барлық заттарын жаңа пәтеріне көшіруге көмектесті.'  
Бұл жағдайда Мадина қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Қараңғыда жалғыз келе жатқан қыз кенеттен артынан біреудің қадамдарын естиді.' 

Бұл жағдайда қыз қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жасөспірім қыз бірнеше ай бойы сүйікті әншісінің концертін асыға күткен еді, бірақ концертке бірнеше сағат қалғанда оның болмайтыны хабарланды.' 

Бұл жағдайда қыз қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Нұрай досының әмиянынан ақша ұрлады, кейін оның ұрлықшы екенін бәрі біліп қойды.' 

Бұл жағдайда Нұрай қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.","'Нұрай досының әмиянынан ақша ұрлады, бірақ оның басқа досы ұрлықшы деп айыпталды. 

Бұл жағдайда Нұрай қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Аружан емтиханда көшіріп, ұсталып қалды. Кейін оның барлық сыныптастары көшіргені туралы біліп қойды.' 

Бұл жағдайда Аружан қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.","'Аружан тестте көшіріп, көп дайындалып адал еңбектенген досынан жоғары баға алды.'
Бұл жағдайда Аружан қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Сирияда соғыс болып жатқанын біле тұра, бір әйел күйеуімен бірге сонда көшіп барды. Кейін олардың бала-шағасы қауіп-қатерге толы ортада, аштық пен үрейде өсті.'
Бұл жағдайда әйел қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Бір әйел кішкентай балаға қарап отырғанда, оны қолжуғыш жанында бір-екі секундқа өздігінен отыра алады деп ойлап қалдырған еді. Әйел сүлгі алу үшін бұрылған кезде бала құлап, басын кранға соғып алды да бірнеше күн бойы көгерген баспен жүрді.'
Бұл жағдайда әйел қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Бір бала: «Қазір бізде түк жоқ», – деп шағымданды, бірақ атасы оған 1990 жылдары адамдар бір түйір нан үшін үлкен кезектерде тұрғанын айтты.'
Бұл жағдайда бала қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жанна бар күшін салып, өз эмоцияларын жинап, сабырлы болуға тырысты, бірақ шыдамы таусылып, соңында еңіреп жылап қалды.'
Бұл жағдайда Жанна қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Айлар бойы еңбек етіп, команда жобаны сәтті аяқтап, басшылары тарапынан мақтауға ие болды.
Бұл жағдайда команда мүшелері қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жұмыстан кейін бір ер адам ылғи үй шаруасына, жылап жатқан балаларына және шаршаған жарына мән бермей, футбол көріп отыратын. Тек әйелі оны тастап кеткен кезде ғана ол әйелінің қандай ауыртпалықты көтеріп жүргенін түсінді.'
Бұл жағдайда сол ер адам қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Дені сап-сау адам сауда орталығында мүгедектерге арналған әжетхананы қолданды, себебі басқа әжетханалар бос емес еді. Бірақ ол әжетханадан шыққанда, адамдардың кезек-кезек боп тұрғанын көріп, өтірік ақсаңдай бастады.'
Бұл жағдайда  ол қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Дина өзінің үй жануарын денсаулық қиындықтарына байланысты ұйықтатуға мәжбүр болды, және ол жануарын соңғы сапарында эмоционалды қолдау көрсету үшін бірге баруға шешім қабылдады. Алайда, процедура кезінде оның эмоциялары өте күшті болды, бұл жануардың соңғы сәттерінде алаңдаушылық тудырған болуы мүмкін.'
Бұл жағдайда Дина қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жәнібек кешіккенді жек көреді және басқалар кешіксе, оларға қатты ашуланады. Бір күні, ол өз отбасына уақытты созып, кешіктіргендері үшін айқайлады. Содан кейін, олар Жәнібекке арналған тосын сый кешіне келеді — Жәнібектің жұбайы оған осы арнайы кешті ұйымдастыру үшін әдейі уақытты созған екен.'
Бұл жағдайда Жәнібек қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Айдос бір апта бұрын ұмытып кеткен тамақ қалдықтарына тап болады. Контейнердің иісі өте жағымсыз, ал ішінен жасыл сұйықтық ағылып жатыр.'
Бұл жағдайда Айдос қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"‘Арманның жұбайы ауырып қалды. Ол сырқаттың қатерлілігін дұрыс бағаламай, жұбайына күтім жасаудың орнына ата-анасының үйіне Жаңа Жылды тойлауға кетіп, жұбайын үйде жалғыз қалдырды. Жұбайы аурудың асқынуынан қайтыс болып, Арман оның соңғы сәттерін өткізіп алады.’
Бұл жағдайда Арман қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Алина ештеңе сатып алуды жоспарламаса да, косметикалық дүкендегі тегін үлгілердің барлығын қолданды.'
Бұл жағдайда Алина қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Жас ана 11 айлық қызының ауырып қалғанын көріп, оны үйде емдеуге тырысты. Дәрігерге баруды кейінге қалдырғанның нәтижесінде, қызы есту қабілетінен айырылды.'
Бұл жағдайда жас ана қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Мақсат 8-сыныпта оқып жүрген кезінде менталдық мүмкіндігі шектеулі қызды күн сайын онымен бірге 'кездесуі' үшін 500 тг төлетуге мәжбүрлейді. Сегіз күннен кейін, Мақсат одан қашып, басқаларға бұны мойындамай, оны жылаған күйінде қалдырды. Ақырында, 4000 теңгені фастфуд пен ойындарға жұмсағанын еске алады.'
Бұл жағдайда ол қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'Әсем көп уайымдап дайындалған презентациясы үшін ақырында мұғалімінен жақсы кері байланыс алды.'
Бұл жағдайда ол қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:,"'30 жастағы Айдана жақында күйеуімен ажырасты. Ол сондай-ақ басқа жұмыс ұсыныстары жоқ екендігіне қарамастан, қазіргі жұмысынан шығып кетті. Бұған қоса, осы күйзелістің нәтижесінде біраз салмақ қосты.'
Бұл жағдайда Айдана қандай эмоцияны сезінуі мүмкін? Сол эмоцияны атаңыз.",Эмоцияның күшін бағалаңыз:
"{""ImportId"":""startDate"",""timeZone"":""Asia/Bishkek""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Bishkek""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Bishkek""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID88_4_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID89_4_TEXT""}","{""ImportId"":""QID90""}","{""ImportId"":""QID90_6_TEXT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID92_6_TEXT""}","{""ImportId"":""QID148""}","{""ImportId"":""QID148_6_TEXT""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_6_TEXT""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_TEXT""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID138_TEXT""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_TEXT""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID146_TEXT""}","{""ImportId"":""QID147_1""}"
2025-04-07 01:11:56,2025-04-07 01:44:26,IP Address,87.255.216.85,100,1949,True,2025-04-07 01:44:27,R_9thB33O9KkQhfaG,,,,,51.1876,71.4491,anonymous,EN,Келісемін,18-25,Орта білім (Мектеп),Әйел,Орыс,,Қазақ,,"Ағылшын,Қазақ,Орыс,Басқа (көрсетіңіз)",Испан,"Ағылшын,Орыс",,"Ағылшын,Орыс",,Орыс,,Үнемі қолданамын,Кейде қолданамын,"Қорқыныш, ұят",Өте күшті,"Қуаныш, мақтаныш, жеңілдік",Өте күшті,"Ұялу, ренжу",Әлсіздеу,Мұң,Күштілеу,Абыржу,Орташа,"Алғыс,, қуаныш",Орташа,Қорқыныш,Күштілеу,Түңіліп кету,Күштілеу,,"Таң қалу, түңілу",Күштілеу,"Қорқыныш, ұялу",,Орташа,"Түңілу, өкіну, мұң, ұят",Өте күшті,"Өкіну, қорқыныш, ұят",Өте күшті,Ұят,Орташа,"Ұялу, күйініш",Өте күшті,"Қуаныш, мақтаныш",Күштілеу,"Өкініш, ұят",Күштілеу,Ұят,Орташа,Қорқыныш,Өте күшті,"Абыржу, наразылық",Орташа,"Ұят, жірену",Орташа,"Мұң, зор қайғы, ашу, торығу",Өте күшті,Қуаныш,Орташа,"Өкіну, ұят",Өте күшті,?????,Өте күшті,Қуаныш,Орташа,Өкіну,Күштілеу
2025-04-07 15:26:57,2025-04-07 15:31:45,IP Address,5.34.33.156,100,288,True,2025-04-07 15:31:46,R_2NCZIlgzjWIsrhZ,,,,,51.1876,71.4491,anonymous,EN,Келісемін,18-25,Бакалавр дәрежесі,Ер,Орыс,,Орыс,,"Ағылшын,Қазақ,Орыс,Түрік",,"Ағылшын,Орыс",,"Ағылшын,Орыс",,Орыс,,Кейде қолданамын,Мүлдем қолданбаймын,агрессия,Орташа,көлкілі,Орташа,құрмет,Әлсіздеу,қамқорлық,Әлсіз,жарамдылық,Күштілеу,кұрметтілік,Күштілеу,жақсы,Әлсіздеу,мейрімділік,Орташа,жақсы,,Әлсіздеу,жақсы,,Күштілеу,жаман,Орташа,жақсы,Күштілеу,жаман,Әлсіздеу,жақсы,Орташа,жаман,Әлсіздеу,жақсы,Күштілеу,жаман,Әлсіздеу,жақсы,Күштілеу,жақсы,Күштілеу,жақсы,Орташа,жақсы,Күштілеу,жақсы,Күштілеу,жақсы,Әлсіздеу,жаман,Күштілеу,жақсы,Орташа,жақсы,Күштілеу
2025-04-07 15:16:01,2025-04-07 15:41:17,IP Address,95.82.116.38,100,1515,True,2025-04-07 15:41:18,R_8cq34iCSmP7H0cA,,,,,43.25,76.9167,anonymous,EN,Келісемін,26-35,Магистр дәрежесі,Әйел,Қазақ,,Қазақ,,Қазақ,,Қазақ,,Орыс,,Қазақ,,Кейде қолданамын,Үнемі қолданамын,"Жақсы ",Орташа,Қуанады,Өте күшті,"Біртүрлі болады ",Әлсіздеу,"Мұңаяды ",Өте күшті,Ашу,Өте күшті,Будет благодарно,Өте күшті,"Қорқыныш ",Күштілеу,"Күрсінеді ренжиді ",Күштілеу,,"Ашу ",Орташа,Ұялу қорқу,,Күштілеу,Қорқу,Өте күшті,Өкініш,Өте күшті,Ойлану ой білмим,Орташа,Жылау,Орташа,Мақтаныш,Орташа,Өкіну,Орташа,Ұялу,Орташа,Жылау,Өте күшті,Білмим,Орташа,"Жиіркенішті ",Күштілеу,Білмим,Өте күшті,Билмим,Өте күшті,Билмим,Өте күшті,Почему так мғого,Әлсіздеу,Білмим,Әлсіздеу,Білмим,Әлсіздеу
2025-04-07 15:31:00,2025-04-07 15:51:21,IP Address,2.76.49.102,100,1220,True,2025-04-07 15:51:22,R_7GRXuHhaVPmTMu5,,,,,51.1876,71.4491,anonymous,EN,Келісемін,18-25,Орта білім (Мектеп),Ер,Ағылшын,,Қазақ,,"Ағылшын,Қазақ,Орыс",,"Ағылшын,Қазақ,Орыс",,"Қазақ,Орыс",,Қазақ,,Жиі қолданамын,Жиі қолданамын,ұят,Өте күшті,бақыт,Өте күшті,наразылық,Орташа,күйзеліс,Өте күшті,ашу,Күштілеу,ризашылық,Өте күшті,қорқыныш,Өте күшті,өкпе,Орташа,,кінә,Өте күшті,ұят,,Күштілеу,құлазу,Өте күшті,өзіне деген ашу,Орташа,түсініксіздік,Орташа,мұң,Әлсіз,бақыт,Күштілеу,өкініш,Өте күшті,ұят,Әлсіздеу,қасірет,Өте күшті,ұят,Әлсіздеу,жеркеніш,Орташа,өкініш,Күштілеу,ләззат,Әлсіздеу,"өкініш, ыза",Өте күшті,"құлазу, өкініш",Өте күшті,қуаныш,Күштілеу,күйзеліс,Өте күшті
2025-04-07 16:09:08,2025-04-07 16:09:21,IP Address,5.76.49.75,100,12,True,2025-04-07 16:09:21,R_5p5wEJBDz5oVOZk,,,,,51.1876,71.4491,anonymous,EN,Келіспеймін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07 15:44:44,2025-04-07 16:16:12,IP Address,46.34.194.192,100,1887,True,2025-04-07 16:16:13,R_2xyLrPS79Mh3hzr,,,,,51.1876,71.4491,anonymous,EN,Келісемін,26-35,Бакалавр дәрежесі,Әйел,Орыс,,Қазақ,,Орыс,,Орыс,,Орыс,,Орыс,,Кейде қолданамын,Кейде қолданамын,Мазасыздық,Орташа,Маза кету,Күштілеу,Көңілі қалды,Орташа,Қөңілі қалды,Өте күшті,Наразылық,Өте күшті,Алғыс,Өте күшті,Мазасыздық,Орташа,Қөңіл кету,Орташа,,Наразылық,Өте күшті,,Қуаныш,Өте күшті,Қатты мазасыздық және қорқыныш,Өте күшті,Қорқыныш және бұзылуы,Күштілеу,Ұят,Орташа,Қөңілсіздік үмітсіздік,Күштілеу,Қуаныш,Өте күшті,Өкініш,Өте күшті,ыңғайсызДық,Орташа,"Өкініш ",Өте күшті,Ұят,Орташа,Бұзылу,Орташа,Өкініш  жоғалту ауруы,Өте күшті,Қуаныш,Орташа,Өкініш,Өте күшті,Ұят,Өте күшті,Қуаныш,Өте күшті,Қайғыру өкініш,Күштілеу
2025-04-07 15:57:38,2025-04-07 16:28:20,IP Address,95.58.202.75,100,1841,True,2025-04-07 16:28:20,R_5Q4Qd7bXniakgk3,,,,,52.2833,76.9667,anonymous,EN,Келісемін,26-35,Магистр дәрежесі,Әйел,Орыс,,Қазақ,,"Ағылшын,Қазақ,Орыс",,Орыс,,"Қазақ,Орыс",,Орыс,,Кейде қолданамын,Кейде қолданамын,қорқыныш,Күштілеу,қуаныш,Өте күшті,эмоциялар жоқ,Орташа,көңілсіздік,Күштілеу,"реніш, ашу",Күштілеу,ризашылық,Күштілеу,қорқыныш,Күштілеу,Көңілі толмағандығы,Күштілеу,,"Ұят сезімі ",Орташа,,ыңғайсыздық,Орташа,Қайғы,Өте күшті,кінә,Орташа,ұялу,Күштілеу,Жеңілденіп қалу,Орташа,Қуаныш,Күштілеу,?,Орташа,ұят пен алаңдаушылық,Күштілеу,жанашырлық,Өте күшті,шыдамсыздық,Орташа,жиіркеніш,Орташа,өкініш,Өте күшті,?,Орташа,"кінәлі сезіну және өкініш ",Өте күшті,?,Орташа,Қуаныш,Орташа,депрессия,Орташа
2025-04-07 16:12:49,2025-04-07 16:37:46,IP Address,85.117.105.179,100,1497,True,2025-04-07 16:37:47,R_83Rtx0hBr2QxTXP,,,,,43.25,76.9167,anonymous,EN,Келісемін,26-35,Бакалавр дәрежесі,Ер,Қазақ,,Қазақ,,"Қазақ,Орыс",,Қазақ,,"Қазақ,Орыс",,Орыс,,Сирек қолданамын,Үнемі қолданамын,Уялу,Әлсіздеу,Қуаныш,Өте күшті,Әзілді ұнатпау,Әлсіз,Күйіну,Күштілеу,Ашулану,Өте күшті,Қуану,Күштілеу,Үрей,Өте күшті,Күйіну,Күштілеу,,Ұялу,Өте күшті,Ұят,,Күштілеу,Күйіну,Күштілеу,Күйіну,Орташа,Таң қалу,Орташа,Күйіну,Күштілеу,Қуану,Өте күшті,Күйіну,Өте күшті,Ұялу,Күштілеу,Өкініш,Күштілеу,Ашу,Күштілеу,Ашу,Орташа,Өкініш,Өте күшті,Куану,Орташа,Күйіну,Күштілеу,Ұялу,Күштілеу,Қуану,Күштілеу,Бәрібіршілік,Күштілеу
