Response ID,age,gender,education,other_langs,thought_lang - Selected Choice,comfort_emotion_lang - Selected Choice,daily_eng,most_used_lang - Selected Choice,most_used_lang - Other (please specify below) - Text,lang_instruction - Selected Choice,lang_instruction - Other (please specify below) - Text,variable,value
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,prolific_id,фы
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,prolific_id,678e61280d675432a225149c
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,60ff0c7402296be789cfe75c
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,prolific_id,67eec93d9f5c05fa2c041d80
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,60ff3ccd8469031d3dc3bb5d
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,prolific_id,66cf752c0d40022c4360365e
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,prolific_id,65cd01be08e766f2a6a8ba92
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,603710141b1ed2313448234a
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,prolific_id,67f317bac8109f4da3f00b4d
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,67f4d9aefffe0d754b09c796
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,prolific_id,67e7f517f9f6de3fd3330684
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,prolific_id,67f4297f15559b6e0c111891
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,67f3fcb9994cdc90718a8eb5
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,67f047016c147b1c30dbd4a4
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,prolific_id,67f32b2cef369d872787e75c
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,prolific_id,66c396ad1fd21de8d95c3921
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,602c42fcd6ab3e5033c45951
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,66e5074b8d1380a5c04d209b
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,prolific_id,6323e8ff54572f1c005051e7
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,67f0ccdfe530abd2a41a8f36
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,prolific_id,67f499fd5b8ab5cfc0445081
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,60fec25a622d696f87fe23f5
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,prolific_id,67f208eef42d4047c25226c1
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,prolific_id,67f3cb05d28f7115da186f13
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,prolific_id,5c92aa671ce0cd00128c6c86
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,prolific_id,67326fc0b9f7931cd0b6c5f6
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,6692c893ffa8d76ccb029717
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,67f43cb5f4039c5db585e6b8
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,prolific_id,628dfaf2fdd97303f3087572
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,66757ab35abe49eff548c364
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,prolific_id,6770c1d5159f012f681f1c51
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,5d546feb05470f001b8d1436
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,65419321636d71344c9f51a8
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,6682b0b622da87763c14179c
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,prolific_id,65f0f44f1cae5992a2cc2c8b
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,prolific_id,67f05f21c32bf20ecb49416b
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,prolific_id,6733b5e257da4b8525bdcae7
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,prolific_id,67f457797f2753947db59811
R_6LMXBbF8WDwL9NX,56+,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,prolific_id,5bec5b873ffbad0001e8b968
R_5Gy5GPrz4SWuuH2,36-45,Female,Bachelor’s degree,Russian,English,English,Definitely yes,English,,English,,prolific_id,5d61c17892a38a0001d83e30
R_6WQK8obG9ELgabf,26-35,Male,Primary education,none,English,English,Definitely yes,English,,English,,prolific_id,5e1e1082baff6e17976ee3ad
R_1xQKA63Ya8INRND,56+,Male,Doctorate (Ph.D.),none,English,English,Definitely yes,English,,English,,prolific_id,640618ed4acdff51122e13c4
R_3QgiDi6LVafBCa8,56+,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,55899b8dfdf99b7ae47f5fa4
R_63xKbOJ9nnzxHm9,36-45,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,prolific_id,66b0ffb2b8ef5a2e26263e0c
R_6FG9aCY3xBmsaY4,26-35,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,prolific_id,654dc6da0fc827b2e98ad492
R_5OXnLupIihHKg6Z,46-55,Female,Secondary education (High school),English,English,English,Definitely yes,English,,English,,prolific_id,63d14f9af4f2e033177bbe4c
R_7r0vpFUDZ0D0doN,18-25,Non-binary,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,61118edeac182645648d4bd5
R_11JLrAN7mh0UReV,26-35,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,5d4bed118cbe900016c1f6d0
R_1PmK7w5cqTelO5Q,26-35,Female,Bachelor’s degree,German,English,English,Definitely yes,English,,English,,prolific_id,67f2f9c1ecd8d9521942f8b8
